,mutual_information,rf_importance,family
tqwt_entropy_log_dec_35,0.10775698453912241,0.0047432684307105715,TQWT
std_delta_delta_log_energy,0.10439024865345647,0.01585857889389936,other
std_8th_delta_delta,0.09693084090613424,0.007929836228732117,other
mean_MFCC_2nd_coef,0.09606377864891891,0.006889119984222964,MFCC
tqwt_TKEO_mean_dec_16,0.09580516837482533,0.0020805473484474626,TQWT
tqwt_entropy_shannon_dec_35,0.09458970566442626,0.0014686555198879041,TQWT
tqwt_maxValue_dec_12,0.0935524712870075,0.005534379761016863,TQWT
tqwt_TKEO_std_dec_12,0.0916740671292795,0.008540080747281874,TQWT
tqwt_TKEO_mean_dec_12,0.09157265108789514,0.009645030588728364,TQWT
tqwt_stdValue_dec_12,0.09121288358579638,0.006209868235645427,TQWT
tqwt_entropy_log_dec_11,0.09115721803960675,0.0039180323174512815,TQWT
tqwt_stdValue_dec_15,0.09095909097418664,0.0006794823397114286,TQWT
tqwt_entropy_log_dec_12,0.090554828752067,0.009966277282692499,TQWT
tqwt_energy_dec_27,0.08907018558849389,0.005071924169449457,TQWT
tqwt_TKEO_std_dec_13,0.08856476471942654,0.007826121117039668,TQWT
app_entropy_shannon_5_coef,0.08831345136935176,0.0011885723403558793,other
tqwt_TKEO_mean_dec_11,0.08708049254011851,0.0039060073975012745,TQWT
std_9th_delta_delta,0.0866540872678705,0.010044343297194452,other
app_LT_entropy_shannon_6_coef,0.08663619142821677,0.0009873648974321097,other
app_entropy_log_5_coef,0.086463491232732,0.0010401683670515486,other
tqwt_entropy_shannon_dec_14,0.08641074110354996,0.001797783807108736,TQWT
tqwt_skewnessValue_dec_36,0.08618697046727286,0.0013860573337418122,TQWT
tqwt_TKEO_mean_dec_13,0.08597271159266806,0.006375372076760567,TQWT
app_LT_entropy_shannon_7_coef,0.08587147653589011,0.000862398983059083,other
tqwt_minValue_dec_10,0.08550938041808642,0.001180148504256211,TQWT
